index,IN,lat,lon
178,89783.0,40.762439,-73.985989
179,39783.0,40.733405,-74.002898
180,63737.0,40.744071,-73.995624
181,52626.0,40.799354,-73.968329
182,51024.0,40.804032,-73.966742
183,43358.0,40.833879,-73.944726
184,63869.0,40.725665,-73.995645
185,92893.0,40.827888,-73.925736
186,41160.0,40.661596,-73.962193
187,55315.0,40.65515,-74.003477
188,77187.0,40.68041,-73.950326
189,26318.0,40.679921,-73.940858
190,41516.0,40.675382,-73.87207
191,92271.0,40.73308,-73.869259
192,70091.0,40.729869,-73.86161
193,72135.0,40.742868,-73.99277
194,45085.0,40.644039,-73.979541
195,64111.0,40.818429,-73.926927
196,40404.0,40.808076,-73.945906
197,66140.0,40.814459,-73.940992
198,83178.0,40.749858,-73.862672
199,24354.0,40.662752,-73.950605
200,19084.0,40.645089,-73.948975
201,86360.0,40.608691,-73.957772
202,53980.0,40.641426,-74.017972
203,35485.0,40.634945,-74.023411
204,23554.0,40.629702,-74.025514
205,51595.0,40.622715,-74.028368
206,25635.0,40.616624,-74.030964
207,41307.0,40.688465,-73.985474
208,56334.0,40.742445,-73.882005
209,41261.0,40.726462,-73.85263
210,50063.0,40.680231,-73.99498
211,41317.0,40.835535,-73.92138
212,69033.0,40.833246,-73.860805
213,58505.0,40.743079,-73.918419
214,24216.0,40.697356,-73.992888
215,20413.0,40.690547,-73.985066
216,25173.0,40.877796,-73.866341
217,27111.0,40.707222,-74.013391
218,26782.0,40.625028,-73.960819
219,27607.0,40.617568,-73.95936
220,18638.0,40.595234,-73.95509
221,27383.0,40.677302,-73.983135
222,23045.0,40.648866,-74.010086
223,31080.0,40.644959,-74.014034
224,11157.0,40.636232,-73.994765
225,109103.0,40.717241,-73.956614
226,51717.0,40.703839,-73.91844
227,21743.0,40.856085,-73.900695
228,63982.0,40.756864,-73.920736
229,38724.0,40.731324,-73.954425
230,90132.0,40.718542,-73.994164
231,26459.0,40.660376,-73.979509
232,20906.0,40.629881,-73.977149
233,39848.0,40.840048,-73.917775
234,49202.0,40.85339,-73.907733
235,17528.0,40.8315,-73.867623
236,20520.0,40.665438,-73.992856
237,9850.0,40.631412,-73.995473
238,98531.0,40.730901,-73.981719
239,44059.0,40.71459,-73.944104
240,29874.0,40.711874,-73.94067
241,41781.0,40.791654,-73.964682
242,36981.0,40.699316,-73.990474
243,22549.0,40.845892,-73.910136
244,69844.0,40.736998,-73.877242
245,19744.0,40.709174,-73.820593
246,38630.0,40.724608,-73.951271
247,60349.0,40.713647,-73.990152
248,54591.0,40.67032,-73.988757
249,26957.0,40.759123,-73.953266
250,46137.0,40.849495,-73.933632
251,46368.0,40.743778,-73.923998
252,12656.0,40.643982,-73.96451
253,14482.0,40.629164,-73.961678
254,13745.0,40.576298,-73.968523
255,30262.0,40.707889,-73.940005
256,34448.0,40.695607,-73.904021
257,39398.0,40.756312,-73.913333
258,64011.0,40.713875,-73.951592
